Time_GMT                ,      x   ,      y   ,     z   , vx       ,  vy       ,  vz
1964-Jul-28 17:19:56.000, -4833.612, -4206.248,-1441.400,7.06010700,-6.87121320,-4.77974600
1964-Jul-28 17:20:01.000, -4798.226, -4240.529,-1465.273,7.09401730,-6.84147520,-4.76948130
1964-Jul-28 18:00:00.000, 14133.998, -7989.741,-6507.532,6.56141680, 0.74185279,-0.66640706
1964-Jul-28 19:00:00.000, 33222.362, -3613.948,-7272.619,4.44865460, 1.40965690, 0.02799046
1964-Jul-28 20:00:00.000, 47538.591,  1559.944,-6845.239,3.59828590, 1.44139850, 0.18201312
1964-Jul-28 21:00:00.000, 59546.763,  6691.915,-6067.579,3.10968320, 1.40591460, 0.24208696
1964-Jul-28 22:00:00.000, 70115.787, 11671.274,-5138.418,2.78070350, 1.36004340, 0.27090856
1964-Jul-28 23:00:00.000, 79670.782, 16485.287,-4133.088,2.53865410, 1.31483490, 0.28605484
1964-Jul-29 00:00:00.000, 88457.831, 21141.938,-3087.067,2.35018670, 1.27277880, 0.29422427
1964-Jul-29 01:00:00.000, 96634.863, 25653.528,-2019.327,2.19756170, 1.23423400, 0.29846922
1964-Jul-29 02:00:00.000,104310.620, 30032.377, -940.892,2.07034780, 1.19897700, 0.30035464
1964-Jul-29 03:00:00.000,111563.860, 34289.674,  141.456,1.96195110, 1.16664570, 0.30075305
1964-Jul-29 04:00:00.000,118453.910, 38435.300, 1223.376,1.86796760, 1.13687590, 0.30018227
1964-Jul-29 05:00:00.000,125026.800, 42477.865, 2301.999,1.78532630, 1.10934030, 0.29896470
1964-Jul-29 06:00:00.000,131319.180, 46424.890, 3375.399,1.71181000, 1.08375660, 0.29730888
1964-Jul-29 07:00:00.000,137360.790, 50282.966, 4442.267,1.64577140, 1.05988510, 0.29535378
1964-Jul-29 08:00:00.000,143176.200, 54057.874, 5501.704,1.58595680, 1.03752270, 0.29319434
1964-Jul-29 09:00:00.000,148785.970, 57754.737, 6553.103,1.53139250, 1.01649770, 0.29089677
1964-Jul-29 10:00:00.000,154207.590, 61378.092, 7596.055,1.48130880, 0.99666358, 0.28850785
1964-Jul-29 10:27:09.000,156603.140, 62994.607, 8065.138,1.45994780, 0.98804557, 0.28740624
1964-Jul-29 10:27:58.000,156674.510, 63041.630, 8077.677,1.43426150, 0.97257015, 0.28116150
1964-Jul-29 11:00:00.000,159407.710, 64901.358, 8616.812,1.41002390, 0.96267305, 0.27985019
1964-Jul-29 12:00:00.000,164405.620, 68334.626, 9619.821,1.36710750, 0.94484521, 0.27737203
1964-Jul-29 13:00:00.000,169254.360, 71705.259,10613.874,1.32709460, 0.92786752, 0.27487869
1964-Jul-29 14:00:00.000,173963.780, 75016.198,11598.946,1.28964890, 0.91166118, 0.27238246
1964-Jul-29 15:00:00.000,178542.580, 78270.077,12575.041,1.25448790, 0.89615725, 0.26989228
1964-Jul-29 16:00:00.000,182998.540, 81469.301,13542.187,1.22137240, 0.88129509, 0.26741466
1964-Jul-29 17:00:00.000,187338.660, 84616.106,14500.448,1.19009750, 0.86702129, 0.26495428
1964-Jul-29 18:00:00.000,191569.240, 87712.503,15449.885,1.16048720, 0.85328837, 0.26251443
1964-Jul-29 19:00:00.000,195695.980, 90760.379,16390.580,1.13238960, 0.84005421, 0.26009737
1964-Jul-29 20:00:00.000,199724.100, 93761.457,17322.619,1.10567200, 0.82728092, 0.25770453
1964-Jul-29 21:00:00.000,203658.340, 96717.321,18246.086,1.08021880, 0.81493457, 0.25533671
1964-Jul-29 22:00:00.000,207503.070, 99629.466,19161.077,1.05592840, 0.80298459, 0.25299427
1964-Jul-29 23:00:00.000,211262.310,102499.260,20067.680,1.03271130, 0.79140329, 0.25067715
1964-Jul-30 00:00:00.000,214939.780,105327.980,20965.984,1.01048830, 0.78016546, 0.24838499
1964-Jul-30 01:00:00.000,218538.930,108116.840,21856.082,0.98918905, 0.76924823, 0.24611723
1964-Jul-30 02:00:00.000,222062.970,110866.930,22738.060,0.96875120, 0.75863059, 0.24387308
1964-Jul-30 03:00:00.000,225514.910,113579.310,23611.997,0.94911923, 0.74829320, 0.24165159
1964-Jul-30 04:00:00.000,228897.530,116254.960,24477.978,0.93024357, 0.73821837, 0.23945168
1964-Jul-30 05:00:00.000,232213.500,118894.790,25336.079,0.91208014, 0.72838961, 0.23727216
1964-Jul-30 06:00:00.000,235465.320,121499.650,26186.363,0.89458968, 0.71879160, 0.23511169
1964-Jul-30 07:00:00.000,238655.320,124070.360,27028.906,0.87773722, 0.70941010, 0.23296884
1964-Jul-30 08:00:00.000,241785.750,126607.650,27863.761,0.86149202, 0.70023170, 0.23084207
1964-Jul-30 09:00:00.000,244858.750,129112.250,28690.988,0.84582683, 0.69124380, 0.22872973
1964-Jul-30 10:00:00.000,247876.370,131584.820,29510.635,0.83071815, 0.68243442, 0.22663002
1964-Jul-30 11:00:00.000,250840.560,134025.980,30322.739,0.81614577, 0.67379209, 0.22454100
1964-Jul-30 12:00:00.000,253753.230,136436.320,31127.343,0.80209263, 0.66530585, 0.22246056
1964-Jul-30 13:00:00.000,256616.230,138816.370,31924.468,0.78854511, 0.65696500, 0.22038640
1964-Jul-30 14:00:00.000,259431.350,141166.630,32714.131,0.77549295, 0.64875905, 0.21831596
1964-Jul-30 15:00:00.000,262200.350,143487.590,33496.346,0.76292921, 0.64067767, 0.21624648
1964-Jul-30 16:00:00.000,264925.020,145779.650,34271.105,0.75085090, 0.63271033, 0.21417459
1964-Jul-30 17:00:00.000,267607.070,148043.230,35038.398,0.73925903, 0.62484653, 0.21209685
1964-Jul-30 18:00:00.000,270248.270,150278.670,35798.195,0.72815944, 0.61707520, 0.21000909
1964-Jul-30 19:00:00.000,272850.420,152486.270,36550.448,0.71756338, 0.60938466, 0.20790648
1964-Jul-30 20:00:00.000,275415.340,154666.320,37295.100,0.70748863, 0.60176250, 0.20578340
1964-Jul-30 21:00:00.000,277944.990,156819.050,38032.064,0.69796108, 0.59419481, 0.20363315
1964-Jul-30 22:00:00.000,280441.370,158944.580,38761.219,0.68901668, 0.58666610, 0.20144765
1964-Jul-30 23:00:00.000,282906.660,161043.070,39482.434,0.68070435, 0.57915846, 0.19921710
1964-Jul-31 00:00:00.000,285343.270,163114.530,40195.518,0.67309006, 0.57165062, 0.19692926
1964-Jul-31 01:00:00.000,287753.850,165158.920,40900.239,0.66626292, 0.56411685, 0.19456880
1964-Jul-31 02:00:00.000,290141.450,167176.110,41596.305,0.66034385, 0.55652490, 0.19211601
1964-Jul-31 03:00:00.000,292509.610,169165.790,42283.335,0.65549936, 0.54883336, 0.18954510
1964-Jul-31 04:00:00.000,294862.590,171127.530,42960.848,0.65196283, 0.54098728, 0.18682160
1964-Jul-31 05:00:00.000,297205.700,173060.630,43628.215,0.65007001, 0.53291134, 0.18389813
1964-Jul-31 06:00:00.000,299545.660,174964.080,44284.596,0.65031997, 0.52449829, 0.18070771
1964-Jul-31 07:00:00.000,301891.480,176836.430,44928.874,0.65348665, 0.51558823, 0.17715220
1964-Jul-31 08:00:00.000,304255.740,178675.440,45559.479,0.66083973, 0.50592980, 0.17308061
1964-Jul-31 09:00:00.000,306657.160,180477.740,46174.154,0.67462447, 0.49510014, 0.16825085
1964-Jul-31 10:00:00.000,309125.850,182237.860,46769.492,0.69925626, 0.48232034, 0.16224628
1964-Jul-31 11:00:00.000,311716.410,183946.240,47340.034,0.74492919, 0.46596134, 0.15430614
1964-Jul-31 12:00:00.000,314548.790,185583.840,47876.595,0.84271238, 0.44189690, 0.14311788
1964-Jul-31 13:00:00.000,318024.550,187104.060,48369.947,1.17567200, 0.39760646, 0.13512609
1964-Jul-31 13:25:48.724,320291.370,187714.900,48627.681,2.02287140, 0.43325334, 0.28010270